"filename", "language", "C++", "Batch", "C", "comment", "blank", "total"
"e:\VS-Code\VS-Code-C-and-Cpp\ACM\1172.c", "C", 0, 0, 23, 0, 0, 23
"e:\VS-Code\VS-Code-C-and-Cpp\ACM\1173.c", "C", 0, 0, 23, 0, 0, 23
"e:\VS-Code\VS-Code-C-and-Cpp\ACM\1174.c", "C", 0, 0, 24, 0, 0, 24
"e:\VS-Code\VS-Code-C-and-Cpp\ACM\1175.c", "C", 0, 0, 18, 0, 0, 18
"e:\VS-Code\VS-Code-C-and-Cpp\ACM\1176.c", "C", 0, 0, 79, 0, 0, 79
"e:\VS-Code\VS-Code-C-and-Cpp\ACM\1177.c", "C", 0, 0, 37, 0, 0, 37
"e:\VS-Code\VS-Code-C-and-Cpp\ACM\1178.c", "C", 0, 0, 20, 0, 0, 20
"e:\VS-Code\VS-Code-C-and-Cpp\ACM\1179.c", "C", 0, 0, 30, 0, 0, 30
"e:\VS-Code\VS-Code-C-and-Cpp\ACM\1180.c", "C", 0, 0, 11, 0, 0, 11
"e:\VS-Code\VS-Code-C-and-Cpp\ACM\1181.c", "C", 0, 0, 26, 0, 0, 26
"e:\VS-Code\VS-Code-C-and-Cpp\ACM\1182.c", "C", 0, 0, 23, 0, 0, 23
"e:\VS-Code\VS-Code-C-and-Cpp\ACM\1183.c", "C", 0, 0, 10, 0, 0, 10
"e:\VS-Code\VS-Code-C-and-Cpp\ACM\1184.c", "C", 0, 0, 72, 0, 0, 72
"e:\VS-Code\VS-Code-C-and-Cpp\ACM\1185.c", "C", 0, 0, 27, 0, 0, 27
"e:\VS-Code\VS-Code-C-and-Cpp\ACM\1186.c", "C", 0, 0, 20, 0, 0, 20
"e:\VS-Code\VS-Code-C-and-Cpp\ACM\1187.c", "C", 0, 0, 18, 0, 0, 18
"e:\VS-Code\VS-Code-C-and-Cpp\ACM\1188.c", "C", 0, 0, 26, 0, 1, 27
"e:\VS-Code\VS-Code-C-and-Cpp\ACM\1189.c", "C", 0, 0, 17, 0, 0, 17
"e:\VS-Code\VS-Code-C-and-Cpp\ACM\1190.c", "C", 0, 0, 24, 0, 0, 24
"e:\VS-Code\VS-Code-C-and-Cpp\ACM\1191.c", "C", 0, 0, 21, 0, 0, 21
"e:\VS-Code\VS-Code-C-and-Cpp\ACM\1192.c", "C", 0, 0, 15, 0, 0, 15
"e:\VS-Code\VS-Code-C-and-Cpp\ACM\1193.c", "C", 0, 0, 28, 0, 0, 28
"e:\VS-Code\VS-Code-C-and-Cpp\ACM\1194.c", "C", 0, 0, 46, 0, 0, 46
"e:\VS-Code\VS-Code-C-and-Cpp\ACM\1195.c", "C", 0, 0, 44, 17, 1, 62
"e:\VS-Code\VS-Code-C-and-Cpp\ACM\1196.c", "C", 0, 0, 23, 0, 0, 23
"e:\VS-Code\VS-Code-C-and-Cpp\ACM\1197.c", "C", 0, 0, 18, 0, 0, 18
"e:\VS-Code\VS-Code-C-and-Cpp\ACM\1198.c", "C", 0, 0, 18, 0, 1, 19
"e:\VS-Code\VS-Code-C-and-Cpp\ACM\1199.c", "C", 0, 0, 20, 0, 0, 20
"e:\VS-Code\VS-Code-C-and-Cpp\ACM\1200.c", "C", 0, 0, 39, 0, 0, 39
"e:\VS-Code\VS-Code-C-and-Cpp\ACM\1201.c", "C", 0, 0, 56, 30, 0, 86
"e:\VS-Code\VS-Code-C-and-Cpp\ACM\1202.c", "C", 0, 0, 78, 0, 0, 78
"e:\VS-Code\VS-Code-C-and-Cpp\ACM\1203.c", "C", 0, 0, 25, 0, 0, 25
"e:\VS-Code\VS-Code-C-and-Cpp\ACM\1204.c", "C", 0, 0, 37, 0, 0, 37
"e:\VS-Code\VS-Code-C-and-Cpp\ACM\1205.c", "C", 0, 0, 50, 0, 0, 50
"e:\VS-Code\VS-Code-C-and-Cpp\ACM\1206.c", "C", 0, 0, 11, 0, 0, 11
"e:\VS-Code\VS-Code-C-and-Cpp\ACM\1207.c", "C", 0, 0, 12, 0, 1, 13
"e:\VS-Code\VS-Code-C-and-Cpp\ACM\1208.c", "C", 0, 0, 74, 0, 1, 75
"e:\VS-Code\VS-Code-C-and-Cpp\ACM\1209.c", "C", 0, 0, 34, 0, 0, 34
"e:\VS-Code\VS-Code-C-and-Cpp\ACM\1210.c", "C", 0, 0, 11, 0, 1, 12
"e:\VS-Code\VS-Code-C-and-Cpp\ACM\1211.c", "C", 0, 0, 34, 0, 0, 34
"e:\VS-Code\VS-Code-C-and-Cpp\ACM\1212.c", "C", 0, 0, 15, 0, 0, 15
"e:\VS-Code\VS-Code-C-and-Cpp\ACM\1213.c", "C", 0, 0, 26, 0, 1, 27
"e:\VS-Code\VS-Code-C-and-Cpp\ACM\1214.c", "C", 0, 0, 23, 0, 1, 24
"e:\VS-Code\VS-Code-C-and-Cpp\ACM\1216.c", "C", 0, 0, 25, 0, 0, 25
"e:\VS-Code\VS-Code-C-and-Cpp\ACM\1217.c", "C", 0, 0, 35, 0, 0, 35
"e:\VS-Code\VS-Code-C-and-Cpp\ACM\1218.c", "C", 0, 0, 35, 0, 1, 36
"e:\VS-Code\VS-Code-C-and-Cpp\ACM\1220.c", "C", 0, 0, 14, 0, 0, 14
"e:\VS-Code\VS-Code-C-and-Cpp\ACM\1221.c", "C", 0, 0, 11, 0, 0, 11
"e:\VS-Code\VS-Code-C-and-Cpp\ACM\1305.c", "C", 0, 0, 36, 0, 0, 36
"e:\VS-Code\VS-Code-C-and-Cpp\ACM\1306.c", "C", 0, 0, 24, 0, 0, 24
